Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Stratford Ews,23872,E94334,-39.33546,174.30502,280,H,Niwa
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Surface Wind: Hourly
Station,Date(NZST),Time(NZST),Dir(DegT),Speed(m/s),Dir StdDev,Spd StdDev,Period(Hrs),Freq
23872,20220101,0000,116,1.2,32.0,0.6,1,H
23872,20220101,0100,116,1.3,32.0,0.5,1,H
23872,20220101,0200,109,0.9,52.0,0.6,1,H
23872,20220101,0300,103,1.3,42.0,0.6,1,H
23872,20220101,0400,98,1.2,52.0,0.6,1,H
23872,20220101,0500,129,2.0,45.0,1.0,1,H
23872,20220101,0600,130,1.7,26.0,1.0,1,H
23872,20220101,0700,114,3.5,20.0,1.4,1,H
23872,20220101,0800,98,6.7,17.0,1.8,1,H
23872,20220101,0900,94,7.8,15.0,2.0,1,H
23872,20220101,1000,91,8.2,16.0,2.3,1,H
23872,20220101,1100,87,7.4,16.0,2.2,1,H
23872,20220101,1200,72,6.2,23.0,1.8,1,H
23872,20220101,1300,77,6.0,23.0,1.8,1,H
23872,20220101,1400,65,5.6,23.0,1.5,1,H
23872,20220101,1500,59,5.1,23.0,1.3,1,H
23872,20220101,1600,41,5.2,18.0,1.4,1,H
23872,20220101,1700,35,4.0,21.0,1.2,1,H
23872,20220101,1800,40,3.8,18.0,1.2,1,H
23872,20220101,1900,38,3.3,16.0,0.9,1,H
23872,20220101,2000,45,2.5,21.0,0.8,1,H
23872,20220101,2100,53,1.9,17.0,0.5,1,H
23872,20220101,2200,92,2.1,16.0,0.4,1,H
23872,20220101,2300,80,1.8,16.0,0.5,1,H
23872,20220102,0000,67,1.0,28.0,0.5,1,H
23872,20220102,0100,104,1.4,18.0,0.3,1,H
23872,20220102,0200,142,1.2,23.0,0.4,1,H
23872,20220102,0300,165,1.0,53.0,0.6,1,H
23872,20220102,0400,148,1.2,52.0,0.7,1,H
23872,20220102,0500,186,1.4,38.0,0.7,1,H
23872,20220102,0600,202,2.2,22.0,0.7,1,H
23872,20220102,0700,209,2.3,19.0,0.7,1,H
23872,20220102,0800,218,2.7,18.0,0.7,1,H
